LocationLogID,OldRackLayer,NewRackLayer,MoldID,DateEntry,CutterID,notes
78,,604,4830,2024/12/02 16:49:09,,
79,,604,3307,2024/12/02 16:49:45,,
80,,604,4831,2024/12/02 16:50:11,,
81,,604,3266,2024/12/02 16:50:17,,
82,,604,4832,2024/12/02 16:50:31,,
83,,604,4833,2024/12/02 16:50:45,,
84,,604,4834,2024/12/02 16:51:01,,
85,,604,4389,2024/12/02 16:51:08,,
86,,604,4359,2024/12/02 16:51:17,,
87,,604,4835,2024/12/02 16:51:30,,
88,,604,4836,2024/12/02 16:51:54,,
89,,604,4837,2024/12/02 16:52:15,,
90,,604,3501,2024/12/02 16:52:25,,
91,708,604,2937,2024/12/02 16:53:08,,
92,700,604,4637,2024/12/02 16:53:25,,
93,,604,4838,2024/12/02 16:53:39,,
94,,604,4839,2024/12/02 16:53:51,,
95,,604,4840,2024/12/02 16:54:12,,
96,,604,4841,2024/12/02 16:54:34,,
97,,604,4842,2024/12/02 16:55:00,,
98,,604,4843,2024/12/02 16:55:12,,
99,,604,4844,2024/12/02 16:55:24,,
100,,604,4845,2024/12/02 16:55:36,,
101,,604,4846,2024/12/02 16:55:46,,
102,,604,4619,2024/12/02 16:55:50,,
103,,604,4621,2024/12/02 16:55:56,,
104,,604,4333,2024/12/02 16:56:01,,
105,,604,4847,2024/12/02 16:56:13,,
106,,604,4848,2024/12/02 16:56:27,,
107,,604,4849,2024/12/02 16:56:39,,
108,,604,3820,2024/12/02 16:56:44,,
109,,604,4850,2024/12/02 16:57:11,,
110,,604,4851,2024/12/02 17:00:35,,
111,,604,4852,2024/12/02 17:00:49,,
112,,604,4853,2024/12/02 17:01:01,,
113,,612,4854,2024/12/03 8:56:20,,
114,,612,4855,2024/12/03 8:56:35,,
115,,612,4011,2024/12/03 8:59:21,,
116,294,612,1272,2024/12/03 9:51:48,,
117,,612,4856,2024/12/03 10:13:51,,
120,,612,4874,2024/12/03 11:38:53,,
121,,612,4877,2024/12/03 11:43:53,,
122,,612,4878,2024/12/03 12:08:22,,
123,,612,4879,2024/12/03 13:56:35,,
124,,612,4880,2024/12/03 13:56:45,,
125,802,612,4744,2024/12/03 13:56:52,,
126,,612,4881,2024/12/03 13:56:58,,
127,,612,4882,2024/12/03 13:57:06,,
128,,612,4883,2024/12/03 13:57:15,,
129,,612,4884,2024/12/03 13:57:21,,
130,,612,4885,2024/12/03 13:57:27,,
131,,612,4886,2024/12/03 13:57:32,,
132,,612,4887,2024/12/03 13:57:42,,
133,,612,4888,2024/12/03 13:59:27,,
134,,612,4889,2024/12/03 13:59:32,,
135,,612,4890,2024/12/03 13:59:36,,
136,,612,4891,2024/12/03 13:59:41,,
137,,612,4892,2024/12/03 14:00:50,,
138,,613,3326,2024/12/03 14:01:12,,
139,709,613,3053,2024/12/03 14:01:23,,
140,,613,4115,2024/12/03 14:10:38,,
141,,613,4894,2024/12/03 14:14:09,,
142,,613,4334,2024/12/03 14:14:19,,
143,,613,4895,2024/12/03 14:14:53,,
144,,613,4165,2024/12/03 14:15:05,,
145,,613,4896,2024/12/03 14:16:06,,
146,,613,4897,2024/12/03 14:17:00,,
147,,613,4347,2024/12/03 14:31:43,,
148,,613,4365,2024/12/03 14:34:26,,
149,,613,4363,2024/12/03 14:35:14,,
150,,613,4899,2024/12/03 14:40:01,,
151,54,613,2945,2024/12/03 14:40:27,,
152,,613,4335,2024/12/03 14:40:34,,
153,,613,4900,2024/12/03 14:40:50,,
154,,613,4901,2024/12/03 14:41:37,,
155,,613,4902,2024/12/03 14:42:11,,
156,,613,4903,2024/12/03 15:13:15,,
157,,613,4904,2024/12/03 15:13:28,,
158,,613,4905,2024/12/03 15:14:36,,
159,,613,4906,2024/12/03 15:15:22,,
160,707,613,1125,2024/12/03 15:15:35,,
161,,613,4907,2024/12/03 15:15:49,,
162,,613,4908,2024/12/03 15:16:02,,
163,,613,4909,2024/12/03 15:16:17,,
164,,613,4116,2024/12/03 15:17:52,,
165,,613,4910,2024/12/03 15:17:57,,
166,,613,4911,2024/12/03 15:18:29,,
167,,613,4912,2024/12/03 15:18:41,,
168,,613,4914,2024/12/03 15:20:25,,
169,,614,4915,2024/12/03 15:20:49,,
170,,614,4916,2024/12/03 15:21:05,,
171,,614,4601,2024/12/03 15:21:13,,
172,,614,4917,2024/12/03 15:31:40,,
173,,614,4155,2024/12/03 15:31:47,,
174,,614,4918,2024/12/03 15:32:34,,
175,,614,4919,2024/12/03 15:32:56,,
176,,614,4920,2024/12/03 15:33:18,,
177,,614,4921,2024/12/03 15:33:41,,
178,,614,4922,2024/12/03 15:34:02,,
179,,614,4156,2024/12/03 15:34:14,,
180,,614,4923,2024/12/03 15:34:27,,
181,172,614,2014,2024/12/03 15:34:47,,
182,,614,4924,2024/12/03 15:35:09,,
183,,614,4925,2024/12/03 15:35:21,,
184,,614,4926,2024/12/03 15:35:37,,
185,,614,4927,2024/12/03 16:32:41,,
186,,614,4928,2024/12/03 16:32:59,,
187,707,614,3068,2024/12/03 16:33:08,,
188,,614,4929,2024/12/03 16:33:30,,
189,,614,4930,2024/12/03 16:33:40,,
190,,614,4931,2024/12/03 16:33:55,,
191,802,614,4757,2024/12/03 16:34:01,,
192,,614,4932,2024/12/03 16:34:13,,
193,707,614,3069,2024/12/03 16:34:20,,
194,707,614,3500,2024/12/03 16:34:26,,
195,,613,4933,2024/12/03 16:34:57,,
196,,613,4934,2024/12/03 16:36:05,,
197,,613,4935,2024/12/03 16:36:45,,
198,,621,4936,2024/12/03 16:37:15,,
199,,621,4937,2024/12/03 16:37:43,,
200,,621,4948,2024/12/04 11:18:50,,
201,,621,4949,2024/12/04 11:24:56,,
202,,621,4950,2024/12/04 11:27:19,,
203,,621,4951,2024/12/04 11:27:50,,
204,,621,4953,2024/12/04 11:37:25,,
205,,621,4954,2024/12/04 12:15:35,,
206,,621,4955,2024/12/04 12:20:34,,
207,,621,4956,2024/12/04 12:20:54,,
208,,622,4957,2024/12/04 12:21:48,,
209,,622,4958,2024/12/04 12:40:04,,
210,,622,4959,2024/12/04 12:40:18,,
211,,622,4960,2024/12/04 12:40:33,,
212,,622,4030,2024/12/04 12:40:49,,
213,,622,4961,2024/12/04 12:40:57,,
214,,622,4962,2024/12/04 13:28:42,,
215,,622,4963,2024/12/04 13:29:30,,
216,,623,4028,2024/12/04 13:35:15,,
217,,623,4964,2024/12/04 13:35:25,,
218,,623,4034,2024/12/04 13:35:39,,
219,,623,4965,2024/12/04 13:35:58,,
220,,623,4966,2024/12/04 13:36:51,,
221,,623,4967,2024/12/04 13:36:59,,
222,,623,4968,2024/12/04 13:37:06,,
223,,623,4969,2024/12/04 14:00:47,,
224,,623,4970,2024/12/04 14:07:01,,
225,,623,4971,2024/12/04 14:14:25,,
226,,623,4972,2024/12/04 14:32:39,,
227,,623,4973,2024/12/04 14:47:11,,
228,,623,4974,2024/12/04 14:57:48,,
229,,623,4977,2024/12/04 15:15:14,,
230,802,623,4754,2024/12/04 15:19:48,,
231,,623,4978,2024/12/04 15:24:19,,
233,,624,4980,2024/12/04 15:51:55,,
234,,624,4981,2024/12/04 17:04:23,,
235,,624,4982,2024/12/04 17:04:33,,
236,,624,4983,2024/12/04 17:04:41,,
237,,624,4984,2024/12/04 17:04:50,,
238,,624,4985,2024/12/04 17:05:00,,
239,,624,4986,2024/12/04 17:05:11,,
240,132,624,2224,2024/12/04 17:05:20,,
241,,624,4987,2024/12/04 17:06:49,,
243,,624,4988,2024/12/04 17:08:40,,
244,,624,4989,2024/12/04 17:25:11,,
245,,624,4990,2024/12/04 17:25:23,,
246,,624,4991,2024/12/04 17:25:31,,
247,184,624,2176,2024/12/04 17:26:08,,
248,,624,4996,2024/12/05 14:55:06,,
249,802,624,4747,2024/12/05 14:57:43,,
250,802,624,4749,2024/12/05 14:59:40,,
251,,624,3682,2024/12/05 15:02:04,,
252,,624,4997,2024/12/05 15:02:22,,
253,,624,4998,2024/12/05 15:04:04,,
254,,624,4999,2024/12/05 15:04:21,,
255,,625,5000,2024/12/05 15:04:56,,
256,,625,5001,2024/12/05 15:11:17,,
257,,625,5002,2024/12/05 15:18:02,,
258,,624,5003,2024/12/05 15:35:33,,
259,,624,5004,2024/12/05 15:35:56,,
266,83,703,695,2024/12/05 17:19:21,,
271,,625,5010,2024/12/06 9:01:06,,
272,,625,5011,2024/12/06 9:01:17,,
273,,625,5012,2024/12/06 9:01:24,,
274,,625,5013,2024/12/06 9:01:44,,
277,,625,4361,2024/12/06 9:29:11,,
278,,625,5017,2024/12/06 9:29:46,,
282,,625,5020,2024/12/06 9:51:24,,
284,,625,5021,2024/12/06 9:51:57,,
285,,625,5022,2024/12/06 9:52:11,,
287,,625,5023,2024/12/06 9:55:29,,
288,,625,5024,2024/12/06 11:20:35,,
289,,625,5025,2024/12/06 12:51:34,,
290,,625,5026,2024/12/06 12:52:47,,
291,,625,5027,2024/12/06 13:19:58,,
292,203,625,2323,2024/12/06 16:18:11,,
293,,625,4494,2024/12/06 16:34:03,,
294,,625,4138,2024/12/06 17:12:05,,
295,,625,4598,2024/12/06 17:12:11,,
296,,625,5033,2024/12/06 17:23:54,,
297,,651,5034,2024/12/06 17:27:24,,
298,,651,5035,2024/12/06 17:27:42,,
299,,651,5036,2024/12/06 17:33:12,,
300,802,651,3196,2024/12/06 17:34:07,,
301,,651,3193,2024/12/06 17:34:53,,
302,,651,5037,2024/12/06 17:34:59,,
303,,651,3195,2024/12/06 17:35:05,,
304,,651,5038,2024/12/06 17:35:07,,
305,,651,3665,2024/12/06 17:35:21,,
306,,651,5039,2024/12/06 17:35:34,,
307,,651,5040,2024/12/09 8:57:53,,
308,651,652,5040,2024/12/09 8:58:14,,
309,,652,4394,2024/12/09 8:58:47,,
310,,652,5041,2024/12/09 8:59:58,,
311,,652,5042,2024/12/09 9:01:09,,
312,,652,5043,2024/12/09 9:01:17,,
313,,652,5044,2024/12/09 9:01:24,,
314,802,652,4245,2024/12/09 9:01:32,,
315,83,652,694,2024/12/09 9:01:38,,
316,652,653,4394,2024/12/09 9:07:45,,
317,,653,4029,2024/12/09 9:07:57,,
318,,653,5045,2024/12/09 9:08:03,,
319,,653,5046,2024/12/09 9:08:10,,
320,,653,5047,2024/12/09 9:08:21,,
321,,653,5048,2024/12/09 9:08:29,,
322,,653,5049,2024/12/09 9:10:15,,
323,,653,4037,2024/12/09 9:10:47,,
324,,654,5050,2024/12/09 9:11:13,,
325,,654,5051,2024/12/09 9:12:03,,
326,,654,5052,2024/12/09 9:12:19,,
327,,654,4400,2024/12/09 9:12:22,,
328,,654,5053,2024/12/09 9:17:12,,
329,,654,5055,2024/12/09 9:37:53,,
330,,654,5056,2024/12/09 9:38:09,,
331,,654,5057,2024/12/09 9:38:15,,
332,,654,5058,2024/12/09 9:38:19,,
333,,654,5059,2024/12/09 9:38:32,,
334,,654,4422,2024/12/09 9:38:38,,
335,703,654,2986,2024/12/09 9:39:56,,
336,,654,5060,2024/12/09 9:40:03,,
337,,654,5061,2024/12/09 9:40:15,,
338,,654,5062,2024/12/09 9:40:21,,
339,,654,5063,2024/12/09 9:40:50,,
340,,654,5064,2024/12/09 9:40:53,,
341,,654,5065,2024/12/09 9:40:58,,
342,,654,5066,2024/12/09 9:41:02,,
343,104,654,534,2024/12/09 9:41:22,,
344,104,654,538,2024/12/09 9:41:30,,
345,,655,5067,2024/12/09 9:42:46,,
346,,655,5068,2024/12/09 9:42:52,,
347,,655,5069,2024/12/09 9:42:56,,
348,,655,5070,2024/12/09 9:43:01,,
349,,655,4433,2024/12/09 9:43:05,,
350,,655,5071,2024/12/09 9:43:31,,
351,,655,5072,2024/12/09 9:43:45,,
352,,655,5073,2024/12/09 9:44:50,,
353,,655,5074,2024/12/09 9:44:58,,
354,,655,3664,2024/12/09 9:45:02,,
355,,655,5075,2024/12/09 9:45:15,,
356,,655,5077,2024/12/09 9:46:02,,
357,,655,5078,2024/12/09 9:46:08,,
358,,655,5079,2024/12/09 9:46:14,,
359,,655,5080,2024/12/09 9:46:18,,
360,,655,5081,2024/12/09 9:46:23,,
361,,655,5082,2024/12/09 9:46:37,,
362,,656,5083,2024/12/09 9:47:03,,
363,,656,5084,2024/12/09 9:47:20,,
364,,656,3192,2024/12/09 9:47:46,,
365,,656,4571,2024/12/09 9:47:53,,
366,,656,3374,2024/12/09 9:50:54,,
367,,656,5085,2024/12/09 9:51:17,,
368,,656,5086,2024/12/09 9:51:40,,
369,101,703,462,2024/12/11 13:03:36,,
370,,175,4470,2024/12/12 14:52:28,,
371,700,21,4626,2024/12/19 10:53:22,,
372,,370,5105,2024/12/27 13:07:23,,
373,,370,5106,2024/12/27 13:15:45,,
374,,370,5107,2024/12/27 13:28:31,,
375,,370,5108,2024/12/27 13:30:12,,
376,,370,5109,2024/12/27 13:30:26,,
377,181,101,5094,2025/01/07 9:17:36,,
378,181,101,5095,2025/01/07 9:58:02,,
379,181,101,4995,2025/01/07 9:58:34,,
380,101,181,4995,2025/01/07 9:58:38,,
381,,370,5113,2025/01/07 11:13:43,,
382,,370,5114,2025/01/07 11:14:50,,
383,,370,5115,2025/01/07 11:14:57,,
384,,370,5116,2025/01/07 11:15:03,,
385,,370,5117,2025/01/07 11:15:07,,
386,,370,5118,2025/01/07 11:15:12,,
387,,370,5119,2025/01/07 11:15:16,,
388,,370,5120,2025/01/07 11:15:21,,
389,,370,5121,2025/01/07 11:15:34,,
390,,370,3987,2025/01/07 11:15:42,,
391,,370,5122,2025/01/07 11:15:53,,
392,,370,5123,2025/01/07 11:16:04,,
393,,370,5124,2025/01/07 11:16:16,,
394,,370,5125,2025/01/07 11:16:58,,
395,,370,3993,2025/01/07 11:17:08,,
396,,370,5126,2025/01/07 11:17:16,,
397,,370,5127,2025/01/07 11:17:23,,
398,,370,5128,2025/01/07 11:17:27,,
399,,370,5129,2025/01/07 11:17:32,,
400,,370,5130,2025/01/07 11:17:40,,
401,,370,5131,2025/01/07 11:17:49,,
402,802,370,3236,2025/01/07 11:18:16,,
403,,370,5132,2025/01/07 11:18:28,,
404,,370,5133,2025/01/07 11:18:46,,
405,,370,5134,2025/01/07 11:18:52,,
406,,370,3535,2025/01/07 11:19:09,,
407,,370,5135,2025/01/07 11:19:22,,
408,,370,5136,2025/01/07 11:19:27,,
409,,370,5137,2025/01/07 11:19:31,,
410,,370,5138,2025/01/07 11:19:42,,
411,,370,3536,2025/01/07 11:19:50,,
412,,370,3539,2025/01/07 11:19:55,,
413,,370,5139,2025/01/07 11:19:59,,
414,,370,5140,2025/01/07 11:20:04,,
415,,370,5141,2025/01/07 11:20:11,,
416,,370,3508,2025/01/07 11:20:16,,
417,,370,3543,2025/01/07 11:20:20,,
418,,370,5142,2025/01/07 11:21:16,,
419,,370,5143,2025/01/07 11:21:20,,
420,,370,5144,2025/01/07 11:21:46,,
421,,370,5145,2025/01/07 11:22:36,,
422,,370,5146,2025/01/07 11:23:19,,
423,,370,5147,2025/01/07 11:23:23,,
424,,370,5148,2025/01/07 11:23:29,,
425,,705,5149,2025/01/07 11:25:40,,
426,,705,5150,2025/01/07 11:25:46,,
427,,705,5151,2025/01/07 11:25:52,,
428,,705,5152,2025/01/07 11:25:58,,
429,,705,5153,2025/01/07 11:26:06,,
430,,705,5154,2025/01/07 11:26:11,,
431,,705,5155,2025/01/07 11:26:18,,
432,,370,5156,2025/01/07 11:26:48,,
433,,370,5157,2025/01/07 11:26:53,,
434,,370,5158,2025/01/07 11:28:12,,
435,,370,5159,2025/01/07 11:29:04,,
436,,370,5160,2025/01/07 11:29:26,,
437,,370,5161,2025/01/07 11:29:31,,
438,,370,5162,2025/01/07 11:29:55,,
439,,370,5163,2025/01/07 11:29:59,,
440,,370,3512,2025/01/07 11:30:03,,
441,,370,3511,2025/01/07 11:30:07,,
442,,370,5164,2025/01/07 11:30:18,,
443,,370,3514,2025/01/07 11:30:29,,
444,,370,3513,2025/01/07 11:31:26,,
445,,370,3776,2025/01/07 11:31:31,,
446,,370,5165,2025/01/07 11:31:37,,
447,,370,3515,2025/01/07 11:32:42,,
448,,370,5166,2025/01/07 11:33:31,,
449,,370,5167,2025/01/07 11:35:28,,
450,,370,5168,2025/01/07 11:35:32,,
451,,370,3774,2025/01/07 11:35:37,,
452,,370,5169,2025/01/07 11:35:42,,
453,,370,5170,2025/01/07 11:35:50,,
454,802,370,4285,2025/01/07 11:51:30,,
455,,370,5171,2025/01/07 11:53:06,,
456,,370,5172,2025/01/07 11:53:15,,
457,,370,5173,2025/01/07 12:31:08,,
458,,370,5174,2025/01/07 13:06:20,,
459,,370,3505,2025/01/07 13:07:30,,
460,,370,3401,2025/01/07 13:17:43,,
461,,370,3092,2025/01/07 13:17:49,,
462,,370,3110,2025/01/07 13:17:54,,
463,,370,5175,2025/01/07 13:18:05,,
464,,370,5176,2025/01/07 13:18:20,,
465,,370,5177,2025/01/07 13:18:39,,
467,,370,5178,2025/01/07 13:19:01,,
468,,370,5179,2025/01/07 13:19:07,,
470,,370,5180,2025/01/07 13:19:23,,
471,,370,5181,2025/01/07 13:19:27,,
472,,370,5182,2025/01/07 13:19:30,,
473,,370,5183,2025/01/07 13:19:33,,
474,,370,5184,2025/01/07 13:19:37,,
475,,370,5185,2025/01/07 13:19:42,,
476,,370,5186,2025/01/07 13:19:44,,
480,,370,5187,2025/01/07 13:20:01,,
481,,370,5188,2025/01/07 13:42:15,,
482,,370,5189,2025/01/07 13:42:40,,
483,,370,5190,2025/01/07 13:42:50,,
484,,370,5191,2025/01/07 13:43:20,,
486,,370,5192,2025/01/07 13:43:41,,
487,,370,5193,2025/01/07 13:43:52,,
488,,370,5194,2025/01/07 13:43:57,,
489,,370,5195,2025/01/07 13:44:03,,
491,,370,5196,2025/01/07 13:44:45,,
492,,370,5197,2025/01/07 13:45:17,,
495,,370,5198,2025/01/07 13:47:18,,
496,,370,5199,2025/01/07 13:47:25,,
497,,370,5200,2025/01/07 13:47:33,,
499,370,125,334,2025/01/07 13:49:07,,
500,370,125,334,2025/01/07 13:49:45,,
501,125,370,334,2025/01/07 13:51:48,,
502,370,125,334,2025/01/07 13:52:04,,
503,,370,5201,2025/01/07 13:53:05,,
504,,370,5202,2025/01/07 13:54:11,,
506,,370,5204,2025/01/07 13:58:42,,
507,,370,5205,2025/01/07 13:58:52,,
509,,370,5206,2025/01/07 14:39:34,,
510,,370,5207,2025/01/07 14:40:15,,
514,,370,5208,2025/01/07 14:42:40,,
523,,370,5209,2025/01/07 14:57:58,,
524,,370,5210,2025/01/07 14:59:37,,
528,,370,5211,2025/01/07 15:12:12,,
530,,370,5213,2025/01/07 17:26:18,,
531,,370,5214,2025/01/07 17:26:57,,
532,,370,5215,2025/01/07 17:27:55,,
533,,370,5216,2025/01/07 17:28:28,,
534,,370,5217,2025/01/07 17:28:34,,
535,,370,5218,2025/01/07 17:28:38,,
536,,370,5219,2025/01/07 17:28:42,,
537,,370,5220,2025/01/07 17:28:47,,
538,,370,5221,2025/01/07 17:29:41,,
539,,370,5222,2025/01/07 17:30:11,,
540,,370,5223,2025/01/07 17:30:18,,
541,,370,5224,2025/01/07 17:30:21,,
542,,370,5225,2025/01/07 17:30:25,,
543,,370,5226,2025/01/07 17:30:28,,
544,,370,5227,2025/01/07 17:30:31,,
545,,370,5228,2025/01/07 17:30:35,,
548,,370,5229,2025/01/07 17:30:48,,
549,,370,5230,2025/01/07 17:30:52,,
552,,370,5231,2025/01/07 17:58:51,,
553,802,370,4280,2025/01/08 10:23:10,,
554,32,370,758,2025/01/08 10:24:05,,
555,370,32,758,2025/01/08 10:24:18,,
556,32,370,758,2025/01/08 10:34:55,,
557,370,32,758,2025/01/08 10:35:17,,
558,,370,5232,2025/01/08 10:36:07,,
559,,370,5233,2025/01/08 10:49:33,,
564,124,370,294,2025/01/08 11:14:42,,
565,370,124,294,2025/01/08 11:34:10,,
566,,370,3288,2025/01/09 16:20:24,,
567,,370,3785,2025/01/09 16:20:42,,
568,,370,5236,2025/01/09 16:20:59,,
569,,370,3786,2025/01/09 16:21:38,,
570,700,64,4764,2025/01/15 14:48:30,,
571,622,704,4960,2025/01/16 13:01:53,,
572,652,704,5041,2025/01/16 13:02:04,,
573,700,710,5110,2025/01/20 8:27:21,,
574,700,31,5234,2025/01/23 10:24:49,,
576,1001,911,,2025/01/24 14:50:04,733,
577,1001,911,,2025/01/24 14:52:15,733,
578,1001,911,,2025/01/24 15:15:52,733,
579,911,1001,,2025/01/24 15:16:07,733,
580,1001,911,,2025/01/24 15:16:13,733,
581,1001,911,,2025/01/24 15:24:22,782,
582,1001,911,,2025/01/24 15:25:04,736,
583,1001,911,,2025/01/24 15:29:56,765,
584,1001,911,,2025/01/24 15:30:14,764,
585,1001,911,,2025/01/24 15:32:47,763,
586,1001,911,,2025/01/24 15:33:16,762,
587,1001,911,,2025/01/24 15:33:39,761,
588,1001,911,,2025/01/24 15:33:59,759,
589,1001,911,,2025/01/24 15:34:32,758,
590,1001,911,,2025/01/24 15:34:53,757,
591,1001,911,,2025/01/24 15:35:17,756,
592,1001,911,,2025/01/24 15:35:41,755,
593,1001,911,,2025/01/24 15:35:58,753,
594,1001,911,,2025/01/24 15:36:32,749,
595,1001,911,,2025/01/24 15:36:50,751,
596,1001,911,,2025/01/24 15:37:08,746,
597,1001,911,,2025/01/24 15:37:29,793,
598,1001,911,,2025/01/24 15:37:56,747,
599,1001,911,,2025/01/24 15:38:49,740,
600,1001,912,,2025/01/24 15:58:09,760,
601,1001,913,,2025/01/24 16:18:40,695,
602,700,14,5090,2025/01/24 16:39:44,,
603,1001,920,,2025/01/24 16:41:25,716,
604,1001,920,,2025/01/24 16:42:03,716,
605,1001,920,,2025/01/24 16:43:07,494,
606,700,35,5237,2025/01/27 8:32:26,,
607,1001,951,,2025/01/28 9:13:39,615,
608,1001,942,,2025/01/28 10:42:18,470,
609,1001,941,,2025/01/28 10:42:31,590,
610,1001,942,,2025/01/28 10:42:57,470,
611,1001,942,,2025/01/28 10:44:42,469,
612,1001,942,,2025/01/28 10:46:31,467,
613,1001,942,,2025/01/28 10:46:49,468,
614,1001,942,,2025/01/28 10:47:18,466,
615,1001,942,,2025/01/28 10:47:33,465,
616,1001,942,,2025/01/28 10:48:35,464,
617,1001,942,,2025/01/28 10:48:58,463,
618,1001,942,,2025/01/28 10:49:18,462,
619,1001,942,,2025/01/28 10:50:46,461,
620,1001,942,,2025/01/28 10:52:31,460,
621,1001,942,,2025/01/28 10:53:26,459,
622,1001,942,,2025/01/28 10:53:50,458,
623,1001,942,,2025/01/28 10:54:09,457,
624,1001,942,,2025/01/28 10:54:59,456,
625,1001,942,,2025/01/28 10:57:29,454,
626,1001,942,,2025/01/28 10:58:52,453,
627,1001,942,,2025/01/28 10:59:23,452,
628,1001,942,,2025/01/28 11:00:58,538,
629,1001,942,,2025/01/28 11:03:01,572,
630,1001,942,,2025/01/28 11:04:38,606,
631,1001,942,,2025/01/28 11:06:06,523,
632,1001,943,,2025/01/28 11:06:40,532,
633,1001,943,,2025/01/28 11:08:02,545,
634,1001,943,,2025/01/28 11:08:25,542,
635,1001,943,,2025/01/28 11:09:09,546,
636,1001,943,,2025/01/28 11:10:17,549,
637,1001,943,,2025/01/28 11:11:30,550,
638,1001,943,,2025/01/28 11:12:12,551,
639,1001,943,,2025/01/28 11:12:28,552,
640,1001,943,,2025/01/28 11:13:57,553,
641,1001,943,,2025/01/28 11:14:23,556,
642,1001,943,,2025/01/28 11:14:48,558,
643,1001,943,,2025/01/28 11:15:01,559,
644,1001,943,,2025/01/28 11:15:17,541,
645,1001,932,,2025/01/28 13:30:27,544,
646,1001,932,,2025/01/28 13:31:51,527,
647,12,13,450,2025/02/03 16:00:34,,
648,12,13,4218,2025/02/03 16:00:43,,
649,700,14,5112,2025/02/03 16:01:24,,
650,700,15,4939,2025/02/03 16:01:50,,
651,700,13,4727,2025/02/03 16:02:02,,
652,,661,4413,2025/02/07 12:02:04,,
653,651,704,3665,2025/02/07 15:10:40,,
654,655,704,3664,2025/02/07 15:11:02,,
